customer_id,total_spend,total_orders,first_order_date,last_order_date,avg_items_per_order,unique_products_count_x,snapshot_date,recency_days,frequency_orders,monetary,tenure_days,median_interorder_days,R_score,F_score,M_score,RFM_Score,avg_sentiment_score,reviews_count,no_reviews_flag,unique_products_count_y,avg_order_value,log_monetary,orders_last_30d,orders_last_90d,is_inactive_90d,spend_per_item,is_vip_flag,kmeans_cluster
00012a2ce6f8dcda20d059ce98491703,114.74,1,2017-11-14 16:08:26,2017-11-14 16:08:26,1.0,1,2018-10-18 17:30:18,338,1,114.74,0,,2,1,3,213,0.0,1,False,1,114.74,4.751346296145693,0,0,True,114.74,False,1
000161a058600d5901f007fab4c27140,67.41,1,2017-07-16 09:40:32,2017-07-16 09:40:32,1.0,1,2018-10-18 17:30:18,459,1,67.41,0,,1,1,2,112,0.0,1,False,1,67.41,4.2255190127729065,0,0,True,67.41,False,1
0001fd6190edaaf884bcaf3d49edf079,195.42,1,2017-02-28 11:06:43,2017-02-28 11:06:43,1.0,1,2018-10-18 17:30:18,597,1,195.42,0,,1,1,4,114,0.0,1,False,1,195.42,5.280255223729628,0,0,True,195.42,False,0
0002414f95344307404f0ace7a26f1d5,179.35,1,2017-08-16 13:09:20,2017-08-16 13:09:20,1.0,1,2018-10-18 17:30:18,428,1,179.35,0,,1,1,4,114,0.0,1,False,1,179.35,5.194899407349548,0,0,True,179.35,False,0
000379cdec625522490c315e70c7a9fb,107.01,1,2018-04-02 13:42:17,2018-04-02 13:42:17,1.0,1,2018-10-18 17:30:18,199,1,107.01,0,,3,1,3,313,0.0,1,False,1,107.01,4.682223815430383,0,0,True,107.01,False,1
0004164d20a9e969af783496f3408652,71.8,1,2017-04-12 08:35:12,2017-04-12 08:35:12,1.0,1,2018-10-18 17:30:18,554,1,71.8,0,,1,1,2,112,0.0,1,False,1,71.8,4.28771595520264,0,0,True,71.8,False,1
000419c5494106c306a97b5635748086,49.4,1,2018-03-02 17:47:40,2018-03-02 17:47:40,1.0,1,2018-10-18 17:30:18,229,1,49.4,0,,3,1,1,311,0.0,1,False,1,49.4,3.919991175077323,0,0,True,49.4,False,1
00046a560d407e99b969756e0b10f282,166.59,1,2017-12-18 11:08:30,2017-12-18 11:08:30,1.0,1,2018-10-18 17:30:18,304,1,166.59,0,,2,1,3,213,0.0,1,False,1,166.59,5.121520520396782,0,0,True,166.59,False,0
00050bf6e01e69d5c0fd612f1bcfb69c,85.23,1,2017-09-17 16:04:44,2017-09-17 16:04:44,1.0,1,2018-10-18 17:30:18,396,1,85.23,0,,2,1,2,212,0.0,1,False,1,85.23,4.457018144964233,0,0,True,85.23,False,1
000598caf2ef4117407665ac33275130,1255.71,1,2018-08-11 12:14:35,2018-08-11 12:14:35,1.0,1,2018-10-18 17:30:18,68,1,1255.71,0,,4,1,4,414,0.0,1,False,1,1255.71,7.13625247393805,0,1,False,1255.71,True,0
